Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
optimal,30,NeutralFiller,choose,cookies,cookies4.jpg,choose_cookies,choose_cookies_AAE.mp3,,,,,doll,doll1.jpg,footprint,footprint4.jpg,trophy,trophy4.jpg,AAE
suboptimal,5,Predictive,win,trophy,trophy1.jpg,win_trophy,win_trophy_GAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail4.jpg,santa,santa3.jpg,whisle,whisle1.jpg,GAE
optimal,8,Predictive,read,book,book4.jpg,read_book,read_book_AAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa4.jpg,ring,ring2.jpg,horse,horse2.jpg,AAE
optimal,42,Filler,choose,scissors,scissors3.jpg,choose_scissors,choose_scissors_AAE.mp3,,,,,bush,bush3.jpg,sandwich,sandwich1.jpg,jewel,jewel4.jpg,AAE
intermediate,1,Predictive,toast,bread,bread3.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 1.jpg,shirt,shirt3.jpg,couch,couch1.jpg,GAE
suboptimal,3,Predictive,pour ,juice,juice3.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck3.jpg,book,book3.jpg,bell,bell1.jpg,GAE
optimal,12,Predictive,bake,cookies,cookies2.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll4.jpg,footprint,footprint2.jpg,trophy,trophy2.jpg,AAE
suboptimal,38,Filler,find,bell,bell4.jpg,find_bell,find_bell_GAE.mp3,,,,,truck,truck1.jpg,book,book2.jpg,juice,juice1.jpg,GAE
intermediate,50,Filler,buy,truck,truck2.jpg,buy_truck,buy_truck_GAE.mp3,,,,,can,can3.jpg,milk,milk4.jpg,dog,dog3.jpg,GAE
intermediate,16,Predictive,kick,ball,ball3.jpg,kick_ball,kick_ball_GAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart4.jpg,cat,cat2.jpg,mail,mail1.jpg,GAE
suboptimal,15,Predictive,ride,bike,bike4.jpg,ride_bike,ride_bike_GAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume2.jpg,can,can4.jpg,kite,kite3.jpg,GAE
optimal,0,Predictive,blow,horn,horn2.jpg,blow_horn,blow_horn_AAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush4.jpg,chair,chair3.jpg,bread,bread2.jpg,AAE
intermediate,45,Filler,choose,santa,santa1.jpg,choose_santa,choose_santa_GAE.mp3,,,,,mail,mail3.jpg,whistle,whistle3.jpg,trophy,trophy3.jpg,GAE
intermediate,8,Predictive,read,book,book1.jpg,read_book,read_book_GAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa2.jpg,ring,ring1.jpg,horse,horse4.jpg,GAE
suboptimal,14,Predictive,walk,dog,dog4.jpg,walk_dog,walk_dog_GAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can1.jpg,milk,milk1.jpg,truck,truck4.jpg,GAE
optimal,9,Predictive,eat,sandwich,sandwich3.jpg,eat_sandwich,eat_sandwich_AAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush1.jpg,jewel,jewel2.jpg,scissors,scissors4.jpg,AAE
intermediate,31,NeutralFiller,buy,car,car2.jpg,buy_car,buy_car_GAE.mp3,,,,,bag,bag2.jpg,grapes,grapes2.jpg,dress,dress4.jpg,GAE
intermediate,46,Filler,choose,horse,horse3.jpg,choose_horse,choose_horse_GAE.mp3,,,,,santa,santa1.jpg,ring,ring3.jpg,book,book2.jpg,GAE
optimal,27,NeutralFiller,buy,sandwich,sandwich4.jpg,buy_sandwich,buy_sandwich_AAE.mp3,,,,,bush,bush2.jpg,jewel,jewel3.jpg,scissors,scissors1.jpg,AAE
suboptimal,28,NeutralFiller,hold,football,football2.jpg,hold_football,hold_football_GAE.mp3,,,,,pickle,pickle4.jpg,whistle,whistle4.jpg,costume,costume4.jpg,GAE
optimal,2,Predictive,climb,tree,tree2.jpg,climb_tree,climb_tree_AAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel1.jpg,doll,doll3.jpg,juice,juice2.jpg,AAE
intermediate,13,Predictive,drive,car,car1.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag3.jpg,grapes,grapes3.jpg,dress,dress3.jpg,GAE
intermediate,10,Predictive,throw,football,football1.jpg,throw_football,throw_football_GAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle2.jpg,whistle,whistle1.jpg,costume,costume1.jpg,GAE
optimal,6,Predictive,play,piano,piano3.jpg,play_piano,play_piano_AAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch2.jpg,tractor,tractor4.jpg,crayon,crayon4.jpg,AAE
optimal,25,NeutralFiller,buy,kite,kite1.jpg,buy_kite,buy_kite_AAE.mp3,,,,,peanut,peanut4.jpg,bush,bush4.jpg,shoes,shoes4.jpg,AAE
